rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,272791,2025-12-20T15:00:00.000Z,Man City vs West Ham,Man City -2.0,-115,3,92,"Elite favorite, massive ML edge and dominant spread",-3-0,1,0,0,0,0,0,-487,1048,650,3.5,-105,-125,-2.0,-115,2.0,-120,2025-12-20T12:00:00.000Z
2,272797,2025-12-20T15:00:00.000Z,Bournemouth vs Burnley,Bournemouth -1.5,125,2,88,"Clear home superiority and Burnley struggles away",3-1,1,0,0,0,0,0,-200,505,340,2.5,-158,122,-1.5,125,1.5,-182,2025-12-20T12:00:00.000Z
3,272803,2025-12-20T14:30:00.000Z,Stuttgart vs HOFF,Stuttgart -0.5,-100,2,86,"Home favorite with line support and sharp money",2-1,1,0,0,0,0,0,105,220,287,3.5,115,-145,-0.5,-100,0.5,-135,2025-12-20T12:00:00.000Z
4,272799,2025-12-20T14:30:00.000Z,Köln vs Union Berlin,Köln -0.5,135,2,84,"Value home side, Union inconsistent away",2-1,1,0,0,0,0,0,157,173,227,2.5,-111,-120,-0.5,135,0.5,-190,2025-12-20T12:00:00.000Z
5,272795,2025-12-20T15:00:00.000Z,Albion vs Sunderland,Albion -0.5,-165,2,83,"Strong home form and Sunderland low scoring",2-0,1,0,0,0,0,0,-153,400,300,2.5,-130,-100,-0.5,-165,0.5,120,2025-12-20T12:00:00.000Z
6,272802,2025-12-20T14:30:00.000Z,WOLF vs Freiburg,WOLF -0.5,138,1,79,"Even matchup but home edge at plus price",2-1,1,0,0,0,0,0,150,172,240,2.5,-125,-105,-0.5,138,0.5,-200,2025-12-20T12:00:00.000Z
7,272801,2025-12-20T14:30:00.000Z,Augsburg vs BRE,Augsburg -0.5,115,1,78,"Home side slightly stronger in tight contest",1-0,1,0,0,0,0,0,132,200,247,2.5,-133,105,-0.5,115,0.5,-165,2025-12-20T12:00:00.000Z
8,272798,2025-12-20T14:30:00.000Z,HSV vs FRA,HSV -0.5,138,1,77,"Late market move favors HSV at home",2-1,1,0,0,0,0,0,150,170,250,2.5,-141,110,-0.5,138,0.5,-200,2025-12-20T12:00:00.000Z
9,272788,2025-12-20T15:00:00.000Z,Wolverhampton vs Brentford,Brentford -0.5,105,1,75,"Brentford attacking edge despite being away",1-2,0,0,1,0,0,0,247,113,240,2.5,-104,-125,0.5,-145,-0.5,105,2025-12-20T12:00:00.000Z
10,273487,2025-12-20T15:15:00.000Z,Levante vs Real Sociedad,Real Sociedad -0.5,130,1,74,"Higher quality side at reasonable away price",1-2,0,0,1,0,0,0,192,142,225,2.5,105,-135,0.5,-190,-0.5,130,2025-12-20T12:00:00.000Z
